DRG	MDC	MS	Description
389	MDC 06	M	G.I. OBSTRUCTION WITH CC
390	MDC 06	M	G.I. OBSTRUCTION WITHOUT CC/MCC
391	MDC 06	M	ESOPHAGITIS GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITH MCC
392	MDC 06	M	ESOPHAGITIS GASTROENTERISTIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC
393	MDC 06	M	OTHER DIGESTIVE SYSTEM DIAGNOSES WITH MCC
394	MDC 06	M	OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC
395	MDC 06	M	OTHER DIGESTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
405	MDC 07	P	PANCREAS LIVER AND SHUNT PROCEDURES WITH MCC
406	MDC 07	P	PANCREAS LIVER AND SHUNT PROCEDURES WITH CC
407	MDC 07	P	PANCREAS LIVER AND SHUNT PROCEDURES WITHOUT CC/MCC
408	MDC 07	P	BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC
409	MDC 07	P	BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC
410	MDC 07	P	BILIARY TRACT PROC EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITHOUT CC/MCC
411	MDC 07	P	CHOLECYSTECTOMY WITH C.D.E. WITH MCC
412	MDC 07	P	CHOLECYSTECTOMY WITH C.D.E. WITH CC
413	MDC 07	P	CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC
414	MDC 07	P	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC
415	MDC 07	P	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC
416	MDC 07	P	CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC
417	MDC 07	P	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC
418	MDC 07	P	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC
419	MDC 07	P	LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC
420	MDC 07	P	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC
421	MDC 07	P	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC
422	MDC 07	P	HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC
423	MDC 07	P	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC
424	MDC 07	P	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC
425	MDC 07	P	OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC
432	MDC 07	M	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC
433	MDC 07	M	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC
434	MDC 07	M	CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC
435	MDC 07	M	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC
436	MDC 07	M	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC
437	MDC 07	M	MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC
438	MDC 07	M	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC
439	MDC 07	M	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC
440	MDC 07	M	DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC
441	MDC 07	M	DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC
442	MDC 07	M	DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC
443	MDC 07	M	DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC
444	MDC 07	M	DISORDERS OF THE BILIARY TRACT WITH MCC
445	MDC 07	M	DISORDERS OF THE BILIARY TRACT WITH CC
446	MDC 07	M	DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC
453	MDC 08	P	COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH MCC
454	MDC 08	P	COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH CC
455	MDC 08	P	COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITHOUT CC/MCC
456	MDC 08	P	SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH MCC
457	MDC 08	P	SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH CC
458	MDC 08	P	SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC
459	MDC 08	P	SPINAL FUSION EXCEPT CERVICAL WITH MCC
460	MDC 08	P	SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC
461	MDC 08	P	BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC
462	MDC 08	P	BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC
463	MDC 08	P	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
464	MDC 08	P	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
465	MDC 08	P	WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
466	MDC 08	P	REVISION OF HIP OR KNEE REPLACEMENT WITH MCC
467	MDC 08	P	REVISION OF HIP OR KNEE REPLACEMENT WITH CC
468	MDC 08	P	REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC
469	MDC 08	P	MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC
470	MDC 08	P	MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
471	MDC 08	P	CERVICAL SPINAL FUSION WITH MCC
472	MDC 08	P	CERVICAL SPINAL FUSION WITH CC
473	MDC 08	P	CERVICAL SPINAL FUSION WITHOUT CC/MCC
474	MDC 08	P	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
475	MDC 08	P	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
476	MDC 08	P	AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
477	MDC 08	P	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
478	MDC 08	P	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
479	MDC 08	P	BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
480	MDC 08	P	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC
481	MDC 08	P	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC
482	MDC 08	P	HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC
483	MDC 08	P	MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
485	MDC 08	P	KNEE PROCEDURES WITH PDX OF INFECTION WITH MCC
486	MDC 08	P	KNEE PROCEDURES WITH PDX OF INFECTION WITH CC
487	MDC 08	P	KNEE PROCEDURES WITH PDX OF INFECTION WITHOUT CC/MCC
488	MDC 08	P	KNEE PROCEDURES WITHOUT PDX OF INFECTION WITH CC/MCC
489	MDC 08	P	KNEE PROCEDURES WITHOUT PDX OF INFECTION WITHOUT CC/MCC
492	MDC 08	P	LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH MCC
493	MDC 08	P	LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH CC
494	MDC 08	P	LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITHOUT CC/MCC
495	MDC 08	P	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATIOM DEVICES EXCEPT HIP AND FEMUR WITH MCC
496	MDC 08	P	LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC
497	MDC 08	P	LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC
498	MDC 08	P	LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC
499	MDC 08	P	LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC
500	MDC 08	P	SOFT TISSUE PROCEDURES WITH MCC
501	MDC 08	P	SOFT TISSUE PROCEDURES WITH CC
502	MDC 08	P	SOFT TISSUE PROCEDURES WITHOUT CC/MCC
503	MDC 08	P	FOOT PROCEDURES WITH MCC
504	MDC 08	P	FOOT PROCEDURES WITH CC
505	MDC 08	P	FOOT PROCEDURES WITHOUT CC/MCC
506	MDC 08	P	MAJOR THUMB OR JOINT PROCEDURES
507	MDC 08	P	MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC
508	MDC 08	P	MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC
509	MDC 08	P	ARTHROSCOPY
510	MDC 08	P	SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITH MCC
511	MDC 08	P	SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITH CC
512	MDC 08	P	SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC
513	MDC 08	P	HAND OR WRIST PROCEDURES EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC
514	MDC 08	P	HAND OR WRIST PROCEDURES EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC
515	MDC 08	P	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC
516	MDC 08	P	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC
517	MDC 08	P	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC
518	MDC 08	P	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR
519	MDC 08	P	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
520	MDC 08	P	BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC
533	MDC 08	M	FRACTURES OF FEMUR WITH MCC
534	MDC 08	M	FRACTURES OF FEMUR WITHOUT MCC
535	MDC 08	M	FRACTURES OF HIP AND PELVIS WITH MCC
536	MDC 08	M	FRACTURES OF HIP AND PELVIS WITHOUT MCC
537	MDC 08	M	SPRAINS STRAINS AND DISLOCATIONS OF HIP PELVIS AND THIGH WITH CC/MCC
538	MDC 08	M	SPRAINS STRAINS AND DISLOCATIONS OF HIP PELVIS AND THIGH WITHOUT CC/MCC
539	MDC 08	M	OSTEOMYELITIS WITH MCC
540	MDC 08	M	OSTEOMYELITIS WITH CC
541	MDC 08	M	OSTEOMYELITIS WITHOUT CC/MCC
542	MDC 08	M	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC
543	MDC 08	M	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC
544	MDC 08	M	PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC
545	MDC 08	M	CONNECTIVE TISSUE DISORDERS WITH MCC
546	MDC 08	M	CONNECTIVE TISSUE DISORDERS WITH CC
547	MDC 08	M	CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
548	MDC 08	M	SEPTIC ARTHRITIS WITH MCC
549	MDC 08	M	SEPTIC ARTHRITIS WITH CC
550	MDC 08	M	SEPTIC ARTHRITIS WITHOUT CC/MCC
551	MDC 08	M	MEDICAL BACK PROBLEMS WITH MCC
552	MDC 08	M	MEDICAL BACK PROBLEMS WITHOUT MCC
553	MDC 08	M	BONE DISEASES AND ARTHROPATHIES WITH MCC
554	MDC 08	M	BONE DISEASES AND ARTHROPATHIES WITHOUT MCC
555	MDC 08	M	SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
556	MDC 08	M	SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC
557	MDC 08	M	TENDONITIS MYOSITIS AND BURSITIS WITH MCC
558	MDC 08	M	TENDONITIS MYOSITIS AND BURSITIS WITHOUT MCC
559	MDC 08	M	AFTERCARE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
560	MDC 08	M	AFTERCARE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
561	MDC 08	M	AFTERCARE MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
562	MDC 08	M	FRACTURE SPRAIN STRAIN AND DISLOCATION EXCEPT FEMUR HIP PELVIS AND THIGH WITH MCC
563	MDC 08	M	FRACTURE SPRAIN STRAIN AND DISLOCATION EXCEPT FEMUR HIP PELVIS AND THIGH WITHOUT MCC
564	MDC 08	M	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC
565	MDC 08	M	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC
566	MDC 08	M	OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC
570	MDC 09	P	SKIN DEBRIDEMENT WITH MCC
571	MDC 09	P	SKIN DEBRIDEMENT WITH CC
572	MDC 09	P	SKIN DEBRIDEMENT WITHOUT CC/MCC
573	MDC 09	P	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
574	MDC 09	P	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
575	MDC 09	P	SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
576	MDC 09	P	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC
577	MDC 09	P	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC
578	MDC 09	P	SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
579	MDC 09	P	OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC
580	MDC 09	P	OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC
581	MDC 09	P	OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC
582	MDC 09	P	MASTECTOMY FOR MALIGNANCY WITH CC/MCC
583	MDC 09	P	MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC
584	MDC 09	P	BREAST BIOPSY LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC
585	MDC 09	P	BREAST BIOPSY LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC
592	MDC 09	M	SKIN ULCERS WITH MCC
593	MDC 09	M	SKIN ULCERS WITH CC
594	MDC 09	M	SKIN ULCERS WITHOUT CC/MCC
595	MDC 09	M	MAJOR SKIN DISORDERS WITH MCC
596	MDC 09	M	MAJOR SKIN DISORDERS WITHOUT MCC
597	MDC 09	M	MALIGNANT BREAST DISORDERS WITH MCC
598	MDC 09	M	MALIGNANT BREAST DISORDERS WITH CC
599	MDC 09	M	MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
600	MDC 09	M	NON-MALIGNANT BREAST DISORDERS WITH CC/MCC
601	MDC 09	M	NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
602	MDC 09	M	CELLULITIS WITH MCC
603	MDC 09	M	CELLULITIS WITHOUT MCC
604	MDC 09	M	TRAUMA TO THE SKIN SUBCUTANEOUS TISSUE AND BREAST WITH MCC
605	MDC 09	M	TRAUMA TO THE SKIN SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC
606	MDC 09	M	MINOR SKIN DISORDERS WITH MCC
607	MDC 09	M	MINOR SKIN DISORDERS WITHOUT MCC
614	MDC 10	P	ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC
615	MDC 10	P	ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC
616	MDC 10	P	AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
617	MDC 10	P	AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH CC
618	MDC 10	P	AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
619	MDC 10	P	O.R. PROCEDURES FOR OBESITY WITH MCC
620	MDC 10	P	O.R. PROCEDURES FOR OBESITY WITH CC
621	MDC 10	P	O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC
622	MDC 10	P	SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
623	MDC 10	P	SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH CC
624	MDC 10	P	SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
625	MDC 10	P	THYROID PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC
626	MDC 10	P	THYROID PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC
627	MDC 10	P	THYROID PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC
628	MDC 10	P	OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC
629	MDC 10	P	OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC
630	MDC 10	P	OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURSE WITHOUT CC/MCC
637	MDC 10	M	DIABETES WITH MCC
638	MDC 10	M	DIABETES WITH CC
639	MDC 10	M	DIABETES WITHOUT CC/MCC
640	MDC 10	M	MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITH MCC
641	MDC 10	M	MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITHOUT MCC
642	MDC 10	M	INBORN AND OTHER DISORDERS OF METABOLISM
643	MDC 10	M	ENDOCRINE DISORDERS WITH MCC
644	MDC 10	M	ENDOCRINE DISORDERS WITH CC
645	MDC 10	M	ENDOCRINE DISORDERS WITHOUT CC/MCC
652	MDC 11	P	KIDNEY TRANSPLANT
653	MDC 11	P	MAJOR BLADDER PROCEDURES WITH MCC
654	MDC 11	P	MAJOR BLADDER PROCEDURES WITH CC
655	MDC 11	P	MAJOR BLADDER PROCEDURES WITHOUT CC/MCC
656	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC
657	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC
658	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC
659	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC
660	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC
661	MDC 11	P	KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC
662	MDC 11	P	MINOR BLADDER PROCEDURES WITH MCC
663	MDC 11	P	MINOR BLADDER PROCEDURES WITH CC
664	MDC 11	P	MINOR BLADDER PROCEDURES WITHOUT CC/MCC
665	MDC 11	P	PROSTATECTOMY WITH MCC
666	MDC 11	P	PROSTATECTOMY WITH CC
667	MDC 11	P	PROSTATECTOMY WITHOUT CC/MCC
668	MDC 11	P	TRANSURETHRAL PROCEDURES WITH MCC
669	MDC 11	P	TRANSURETHRAL PROCEDURES WITH CC
670	MDC 11	P	TRANSURETHRAL PROCEDURES WITHOUT CC/MCC
671	MDC 11	P	URETHRAL PROCEDURES WITH CC/MCC
672	MDC 11	P	URETHRAL PROCEDURES WITHOUT CC/MCC
673	MDC 11	P	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC
674	MDC 11	P	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC
675	MDC 11	P	OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC
682	MDC 11	M	RENAL FAILURE WITH MCC
683	MDC 11	M	RENAL FAILURE WITH CC
684	MDC 11	M	RENAL FAILURE WITHOUT CC/MCC
685	MDC 11	M	ADMIT FOR RENAL DIALYSIS
686	MDC 11	M	KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC
687	MDC 11	M	KIDNEY AND URINARY TRACT NEOPLASMS WITH CC
688	MDC 11	M	KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC
689	MDC 11	M	KIDNEY AND URINARY TRACT INFECTIONS WITH MCC
690	MDC 11	M	KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC
691	MDC 11	M	URINARY STONES WITH ESW LITHOTRIPSY WITH CC/MCC
692	MDC 11	M	URINARY STONES WITH ESW LITHOTRIPSY WITHOUT CC/MCC
693	MDC 11	M	URINARY STONES WITHOUT ESW LITHOTRIPSY WITH MCC
694	MDC 11	M	URINARY STONES WITHOUT ESW LITHOTRIPSY WITHOUT MCC
695	MDC 11	M	KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC
696	MDC 11	M	KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC
697	MDC 11	M	URETHRAL STRICTURE
698	MDC 11	M	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC
699	MDC 11	M	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC
700	MDC 11	M	OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC
707	MDC 12	P	MAJOR MALE PELVIC PROCEDURES WITH CC/MCC
708	MDC 12	P	MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC
709	MDC 12	P	PENIS PROCEDURES WITH CC/MCC
710	MDC 12	P	PENIS PROCEDURES WITHOUT CC/MCC
711	MDC 12	P	TESTES PROCEDURES WITH CC/MCC
712	MDC 12	P	TESTES PROCEDURES WITHOUT CC/MCC
713	MDC 12	P	TRANSURETHRAL PROSTATECTOMY WITH CC/MCC
714	MDC 12	P	TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC
715	MDC 12	P	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC
716	MDC 12	P	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC
717	MDC 12	P	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC
718	MDC 12	P	OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXCEPT MALIGNANCY WITHOUT CC/MCC
722	MDC 12	M	MALIGNANCY MALE REPRODUCTIVE SYSTEM WITH MCC
723	MDC 12	M	MALIGNANCY MALE REPRODUCTIVE SYSTEM WITH CC
724	MDC 12	M	MALIGNANCY MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
725	MDC 12	M	BENIGN PROSTATIC HYPERTROPHY WITH MCC
726	MDC 12	M	BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC
727	MDC 12	M	INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC
728	MDC 12	M	INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC
729	MDC 12	M	OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC
730	MDC 12	M	OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
734	MDC 13	P	PELVIC EVISCERATION RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC
735	MDC 13	P	PELVIC EVISCERATION RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC
736	MDC 13	P	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC
737	MDC 13	P	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC
738	MDC 13	P	UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC
739	MDC 13	P	UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC
740	MDC 13	P	UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC
741	MDC 13	P	UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC
742	MDC 13	P	UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC
743	MDC 13	P	UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC
744	MDC 13	P	D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC
745	MDC 13	P	D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC
746	MDC 13	P	VAGINA CERVIX AND VULVA PROCEDURES WITH CC/MCC
747	MDC 13	P	VAGINA CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC
748	MDC 13	P	FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
749	MDC 13	P	OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC
750	MDC 13	P	OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
754	MDC 13	M	MALIGNANCY FEMALE REPRODUCTIVE SYSTEM WITH MCC
755	MDC 13	M	MALIGNANCY FEMALE REPRODUCTIVE SYSTEM WITH CC
756	MDC 13	M	MALIGNANCY FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
757	MDC 13	M	INFECTIONS FEMALE REPRODUCTIVE SYSTEM WITH MCC
