raw_description,DRG_34_description
UTERINEADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITH CC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC
OTHER SKIN SUBCUT TISS AND BREAST PROCEDURES WITH MCC,OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC
AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITH MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC
BACK AND NECK PROCEDURES EXC SPINAL FUSION WITH CC,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
TRACHEOSTOMY FOR FACEMOUTH AND NECK DIAGNOSES WITHOUT CC/MCC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITHOUT CC/MCC
OTHER SKIN SUBCUT TISS AND BREAST PROCEDURES WITHOUT CC/MCC,OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC
CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEM,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIP FOOT FEMUR WITH CC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH CC
PELVIC EVISCERATION RAD HYSTERECTOMY AND RAD VULVECTOMY WITH CC/MCC,PELVIC EVISCERATION RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC
SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROCEDURES WITH MCC,SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITH MCC
SEPTICEMIA WITHOUT MV 96+ HOURS WITHOUT MCC,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC
CRANIAL/FACIAL PROCEDURES WITHOUT CC/MCC,CRANIAL AND FACIAL PROCEDURES WITHOUT CC/MCC
CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITH MCC,CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERATION WITH MCC
TRAUMATIC STUPOR AND COMA COMA >1 HR WITH MCC,TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITH MCC
CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC,CESAREAN SECTION WITHOUT CC/MCC
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITH CC,BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH CC
VAGINAL DELIVERY WITHOUT STERILIZATION/DANDC WITH CC,VAGINAL DELIVERY WITH COMPLICATING DIAGNOSES
MAJOR CARDIOVASC PROCEDURES WITH MCC,NaN
DANDC CONIZATION LAPARASCOPY AND TUBAL INTERRUPTION WITH CC/MCC,D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC
SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROCEDURES WITH CC,SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITH CC
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH CC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH CC
NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCT WITHOUT MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIPFOOTFEMUR WITH MCC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH MCC
PATHOLOGICAL FRACTURES AND MUSCULOSKELET AND CONN TISS MALIG WITHOUT CC/MCC,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC
WND DEBRID AND SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS WITHOUT CC/MCC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
PERC CARDIOVASC PROCEDURES WITHOUT CORONARY ARTERY STENT OR AMI WITH MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITH MCC,OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITHOUT CC/MCC,OTHER ANTEPARTUM DIAGNOSES WITHOUT MEDICAL COMPLICATIONS
TRAUMA TO THE SKIN SUBCUT TISS AND BREAST WITH MCC,TRAUMA TO THE SKIN SUBCUTANEOUS TISSUE AND BREAST WITH MCC
LOCAL EXCISION AND REMOVAL INT FIX DEVICES OF HIP AND FEMUR WITHOUT CC/MCC,LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC
SKIN GRAFTS AND WOUND DEBRID FOR ENDOC NUTRIT AND METAB DIS WITH CC,SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH CC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL WITH MAJ O.R. PROCEDURES WITHOUT CC/MCC,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR EXT FUS WITH MCC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH MCC
SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITH MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITH CARD CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROEDURESC WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS
UTERINEADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITHOUT CC/MCC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG WITHOUT CC/MCC,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT CC/MCC
SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONN TISSUE WITH MCC,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR 9+ FUS WITH MCC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH MCC
INBORN ERRORS OF METABOLISM,INBORN AND OTHER DISORDERS OF METABOLISM
AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB AND TOE WITHOUT CC/MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC
AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRITAND METABOL DIS WITH MCC,AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
AMPUTAT OF LOWER LIMB FOR ENDOCRINE NUTRIT AND METABOL DIS WITH CC,AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH CC
OTHER MUSCULOSKELETAL SYS AND CONNECTIVE TISSUE DIAGNOSES WITH MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC
UPPER LIMB AND TOE AMPUTATION FOR CIRC SYSTEM DISORDERS WITH MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC
OTHER MUSCULOSKELET SYS AND CONN TISS O.R. PROCEDURES WITH MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC
AMPUTATION FOR MUSCULOSKELETAL SYS AND CONN TISSUE DIS WITH MCC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
OTHER ENDOCRINE NUTRIT AND METAB O.R. PROCEDURES WITHOUT CC/MCC,OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURSE WITHOUT CC/MCC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL WITH MAJ O.R. PROCEDURES WITH MCC,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH MCC
CARDIAC DEFIB IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MCC,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MCC
MAJOR CARDIOVASC PROCEDURES WITH MCC OR THORACIC AORTIC ANEURYSM REPAIR,NaN
MAJOR JOINT AND LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITY WITH CC/MCC,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
MISC DISORDERS OF NUTRITION METABOLISM FLUIDS/ELECTROLYTES WITHOUT MCC,MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITHOUT MCC
UPPER LIMB AND TOE AMPUTATION FOR CIRC SYSTEM DISORDERS WITHOUT CC/MCC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC
MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER,NaN
SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS WITH MCC,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITH MCC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH MCC
MAJOR CARDIOVASC PROCEDURES WITH MCC OR THORACIC AORTIC ANUERYSM REPAIR,NaN
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITH CC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC
OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITH CC,OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
MYELOPROLIF DISORD OR POORLY DIFF NEOPL WITH OTHER O.R. PROCEDURES WITH CC/MCC,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITH CC/MCC
ABORTION WITHOUT DANDC,ABORTION WITHOUT D&C
DISORDERS OF LIVER EXCEPT MALIG CIRR ALC HEPA WITH CC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR 9+ FUS WITH CC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH CC
SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT
PELVIC EVISCERATION RAD HYSTERECTOMY AND RAD VULVECTOMY WITHOUT CC/MCC,PELVIC EVISCERATION RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC
TRACHEOSTOMY FOR FACEMOUTH AND NECK DIAGNOSES WITH CC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH CC
CESAREAN SECTION WITHOUT STERILIZATION WITH MCC,CESAREAN SECTION WITH CC/MCC
SKIN GRAFT AND/OR DEBRID FOR SKN ULCER OR CELLULITIS WITHOUT CC/MCC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
VAGINAL DELIVERY WITHOUT STERILIZATION/DANDC WITH MCC,VAGINAL DELIVERY WITH COMPLICATING DIAGNOSES
DANDC CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC,D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC
TRACHEOSTOMY FOR FACEMOUTH AND NECK DIAGNOSES WITH MCC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH MCC
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURES WITHOUT CC/MCC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITHOUT CC/MCC
SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS WITH CC,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAG WITH MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
CESAREAN SECTION WITH STERILIZATION WITH CC,CESAREAN SECTION WITH CC/MCC
TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH MCC
SKIN GRAFT AND/OR DEBRID FOR SKN ULCER OR CELLULITIS WITH MCC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
NASAL TRAUMA AND DEFORMITY WITH CC,NaN
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAG WITH CC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
SKIN GRAFTS AND WOUND DEBRID FOR ENDOC NUTRIT AND METAB DIS WITH MCC,SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURES WITHOUT CC/MCC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITHOUT CC/MCC
VAGINAL DELIVERY WITH STERILIZATION/DANDC WO CC/MCC,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITH CC
NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCT WITH MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC
FULL THICKNESS BURN WITHOUT SKIN GRFT OR INHAL INJ,FULL THICKNESS BURN WITHOUT SKIN GRFT OR INHALATION INJURY
BACK AND NECK PROCEDURES EXC SPINAL FUSION WITH MCC OR DISC DEVICE/NEUROSTIM,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITHOUT CC/MCC,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITHOUT CC/MCC
SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRITAND METABOL DIS WITHOUT CC/MCC,AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
AUTOLOGOUS BONE MARROW TRANSPLANT  WITH CC/MCC OR T-CELL IMMUNOTHERAPY,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL WITH OTHER O.R. PROCEDURES WITHOUT CC/MCC,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER O.R. PROCEDURE WITHOUT CC/MCC
CARDIAC DEFIB IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MCC,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MCC
CESAREAN SECTION WITH STERILIZATION WITH MCC,CESAREAN SECTION WITH CC/MCC
OTHER INJURY POISONING AND TOXIC EFFECT DIAG WITH MCC,OTHER INJURY POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC
NASAL TRAUMA AND DEFORMITY WITH MCC,NaN
MISC DISORDERS OF NUTRITION METABOLISM FLUIDS/ELECTROLYTES WITH MCC,MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITH MCC
CARDIAC ARREST UNEXPLAINED WITH MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE,CARDIAC ARREST UNEXPLAINED WITH MCC
ISCHEMIC STROKE PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLY,NaN
SKIN GRAFTS AND WOUND DEBRID FOR ENDOC NUTRIT AND METAB DIS WITHOUT CC/MCC,SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAG WITH MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITH MCC
SKIN GRAFT AND/OR DEBRID EXC FOR SKIN ULCER OR CELLULITIS WITH MCC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
ACUTE MYOCARDIA INFARCTION DISCHARGED ALIVE WITHOUT CC/MCC,ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE WITHOUT CC/MCC
ALCOHOL/DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY,ALCOHOL DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY
AICD LEAD AND GENERATOR PROCEDURES,AICD GENERATOR PROCEDURES
UTERINEADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITH MCC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC
URINARY STONES WITHOUT MCC,NaN
AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC OR T-CELL IMMUNOTHERAPY,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC
DISORDERS OF LIVER EXCEPT MALIG CIRR ALC HEPA WITHOUT CC/MCC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC
CARDIAC DEFIB IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MCC,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MCC
DANDC CONIZATION LAPARASCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC,D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC
OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITH MCC,OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
AMPUTAT OF LOWER LIMB FOR ENDOCRINE NUTRIT AND METABOL DIS WITH MCC,AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIP FOOT FEMUR WITHOUT CC/MCC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITHOUT CC/MCC
FULL THICKNESS BURN WITH SKIN GRAFT OR INHAL INJ WITH CC/MCC,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC
AUTOLOGOUS BONE MARROW TRANSPLANT,NaN
SHOULDER ELBOW OR FOREARM PROCEDURES EXC MAJOR JOINT PROCEDURES WITHOUT CC/MCC,SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC
NASAL TRAUMA AND DEFORMITY WITHOUT CC/MCC,NaN
OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXC MALIGNANCY WITHOUT CC/MCC,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC
TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC,TRACHEOSTOMY FOR FACE MOUTH AND NECK DIAGNOSES WITHOUT CC/MCC
UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITH MCC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC
URINARY STONES WITH MCC,NaN
PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITHOUT MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITHOUT MCC
SHOULDER ELBOW OR FOREARM PROCEDURES EXC MAJOR JOINT PROCEDURES WITH CC,SHOULDER ELBOW OR FOREARM PROCEDURES EXCEPT MAJOR JOINT PROCEDURES WITH CC
FULL THICKNESS BURN WITH SKIN GRAFT OR INHAL INJ WITHOUT CC/MCC,FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR 9+ FUS WITHOUT CC/MCC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIP FOOT FEMUR WITH MCC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH MCC
VAGINAL DELIVERY WITH STERILIZATION/DANDC WITHOUT CC/MCC,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
VAGINAL DELIVERY WITH STERILIZATION/DANDC WITH CC,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
VAGINAL DELIVERY WITH STERILIZATION/DANDC WITH MCC,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITH CC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC
BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY WITH MCC,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC
UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN/ADNEXAL MALIG WITHOUT CC/MCC,UTERINE ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC
OTHER ENDOVASCULAR CARDIAC VALVE PROCEDURES WITH MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITH MCC
